Model,Sentence,Target,Sentiment,published_time
TSC,"During their meeting, Abbas welcomed Al-Sudairi and said his visit to Palestine and his appointment as Saudi ambassador to the State of Palestine would contribute to ""strengthening the strong fraternal relations that bind the two countries and the two brotherly peoples.",Palestine,neutral,2023-09-27
TSC,"During their meeting, Abbas welcomed Al-Sudairi and said his visit to Palestine and his appointment as Saudi ambassador to the State of Palestine would contribute to ""strengthening the strong fraternal relations that bind the two countries and the two brotherly peoples.",UN,positive,2023-09-27
TSC,"""The Saudi ambassador said he hoped that his visit would be ""a successful beginning for strengthening relations in all fields,"" stressing his country's firm and supportive positions for the Palestinian people and their just cause.",US,positive,2023-09-27
TSC,"""The Saudi ambassador said he hoped that his visit would be ""a successful beginning for strengthening relations in all fields,"" stressing his country's firm and supportive positions for the Palestinian people and their just cause.",UN,positive,2023-09-27
TSC,"Earlier in the day, Al-Sudairi told reporters in a statement that ""the Arab Peace Initiative is the basic point in any upcoming agreement,"" after being asked about the fate of the initiative in the event of reaching a normalization deal between Saudi Arabia and Israel.",Israel,neutral,2023-09-27
TSC,"Earlier in the day, Al-Sudairi told reporters in a statement that ""the Arab Peace Initiative is the basic point in any upcoming agreement,"" after being asked about the fate of the initiative in the event of reaching a normalization deal between Saudi Arabia and Israel.",Saudi Arabia,neutral,2023-09-27
TSC,The Arab Peace Initiative was launched in 2002 after it was drafted by Saudi Arabia and adopted by the Arab League.,Saudi Arabia,neutral,2023-09-27
TSC,The Arab Peace Initiative was launched in 2002 after it was drafted by Saudi Arabia and adopted by the Arab League.,UN,neutral,2023-09-27
TSC,"The initiative calls for an end to the conflict between Israel and Palestine and the normalization of relations between Israel and Arab states, in exchange for an Israeli withdrawal from the areas it gained since 1967 and proper settlement to the issue of Palestinian refugees.",Israel,neutral,2023-09-27
TSC,"The initiative calls for an end to the conflict between Israel and Palestine and the normalization of relations between Israel and Arab states, in exchange for an Israeli withdrawal from the areas it gained since 1967 and proper settlement to the issue of Palestinian refugees.",Palestine,neutral,2023-09-27
TSC,"The Palestinians demanded the establishment of an independent state alongside Israel in all of the Palestinian territories occupied by Israel in 1967, including the entire West Bank and the Gaza Strip, with East Jerusalem as its capital.",Israel,neutral,2023-09-27
TSC,"The Palestinians demanded the establishment of an independent state alongside Israel in all of the Palestinian territories occupied by Israel in 1967, including the entire West Bank and the Gaza Strip, with East Jerusalem as its capital.",Gaza,neutral,2023-09-27
TSC,"The Palestinians demanded the establishment of an independent state alongside Israel in all of the Palestinian territories occupied by Israel in 1967, including the entire West Bank and the Gaza Strip, with East Jerusalem as its capital.",US,neutral,2023-09-27
TSC,"The Palestinians demanded the establishment of an independent state alongside Israel in all of the Palestinian territories occupied by Israel in 1967, including the entire West Bank and the Gaza Strip, with East Jerusalem as its capital.",West,neutral,2023-09-27
TSC,"The Palestinians demanded the establishment of an independent state alongside Israel in all of the Palestinian territories occupied by Israel in 1967, including the entire West Bank and the Gaza Strip, with East Jerusalem as its capital.",West Bank,neutral,2023-09-27
TSC,The Saudi ambassador also confirmed that his country intends to open a consulate in East Jerusalem soon.,US,neutral,2023-09-27
TSC,The Saudi ambassador also confirmed that his country intends to open a consulate in East Jerusalem soon.,UN,neutral,2023-09-27
TSC," The Chinese government released a white paper on Tuesday to introduce the theoretical base, practice and development of a global community of shared future, as by presenting China's vision of the course of human development, it counters the hegemonic thinking of certain countries that seek supremacy. ",China,positive,2023-09-26
TSC," The Chinese government released a white paper on Tuesday to introduce the theoretical base, practice and development of a global community of shared future, as by presenting China's vision of the course of human development, it counters the hegemonic thinking of certain countries that seek supremacy. ",UN,positive,2023-09-26
TSC,"The white paper, titled ""A Global Community of Shared Future: China's Proposals and Actions,"" introduced the background for China to raise the concept of a global community of shared future as the world is undergoing changes on a scale unseen in a century with various problems posing unprecedented challenges for human society.",US,positive,2023-09-26
TSC,"The white paper, titled ""A Global Community of Shared Future: China's Proposals and Actions,"" introduced the background for China to raise the concept of a global community of shared future as the world is undergoing changes on a scale unseen in a century with various problems posing unprecedented challenges for human society.",China,positive,2023-09-26
TSC,"The white paper, titled ""A Global Community of Shared Future: China's Proposals and Actions,"" introduced the background for China to raise the concept of a global community of shared future as the world is undergoing changes on a scale unseen in a century with various problems posing unprecedented challenges for human society.",UN,positive,2023-09-26
TSC,"But certain countries still cling to this mindset, blindly pursuing absolute security and monopolistic advantages, which will do nothing for their development in the long run but create a major threat to the world. ",UN,negative,2023-09-26
TSC,"It is increasingly obvious that the obsession with superior strength, and the zero-sum mentality are in conflict with the needs of our times, the white paper said, pointing out that the new era calls for new ideas. ",US,negative,2023-09-26
TSC,"To build a global community of shared future is to pursue openness, inclusiveness, mutual benefit, equity and justice, the white paper said.",US,positive,2023-09-26
TSC,"To build a global community of shared future is to pursue openness, inclusiveness, mutual benefit, equity and justice, the white paper said.",UN,positive,2023-09-26
TSC,"Instead, it is about countries with different social systems, ideologies, histories, shared rights, and shared responsibilities in global affairs. ",UN,positive,2023-09-26
TSC,The vision of a global community of shared future stands on the right side of history and on the side of human progress.,UN,positive,2023-09-26
TSC,"It has become the overall goal of China's major-country diplomacy in the new era, and a great banner that leads the trend of the times and the direction of human progress. ",China,positive,2023-09-26
TSC,"It has become the overall goal of China's major-country diplomacy in the new era, and a great banner that leads the trend of the times and the direction of human progress. ",UN,positive,2023-09-26
TSC,The concept of a global community of shared future has deep roots in China's profound cultural heritage and its unique experience of modernization.,China,positive,2023-09-26
TSC,The concept of a global community of shared future has deep roots in China's profound cultural heritage and its unique experience of modernization.,UN,positive,2023-09-26
TSC,"It carries forward the diplomatic traditions of China and draws on the outstanding achievements of all other civilizations, the white paper said.",China,positive,2023-09-26
TSC,"It also manifests China's time-honored historical traditions, distinct characteristics of the times, and a wealth of humanistic values.  ",China,positive,2023-09-26
TSC,"The white paper also pointed out the direction and plan to build a global community of shared future including pressing ahead with a new type of economic globalization in which countries need to pursue a policy of openness and explicitly oppose protectionism, the erection of fences and barriers, unilateral sanctions, and maximum-pressure tactics, so as to connect economies and jointly build an open world economy. ",UN,positive,2023-09-26
TSC,"Some countries are seeking to decouple from China, enclosing themselves in ""small yards, high fences,"" which will ultimately only backfire, the white paper said.",China,negative,2023-09-26
TSC,"Some countries are seeking to decouple from China, enclosing themselves in ""small yards, high fences,"" which will ultimately only backfire, the white paper said.",UN,neutral,2023-09-26
TSC,"Over the past decade, China has contributed its strength to building a global community of shared future with firm conviction and solid actions. ",China,positive,2023-09-26
TSC,"Over the past decade, China has contributed its strength to building a global community of shared future with firm conviction and solid actions. ",UN,positive,2023-09-26
TSC,"For instance, by July 2023, more than three-quarters of countries in the world and over 30 international organizations had signed agreements on Belt and Road cooperation with China.",China,neutral,2023-09-26
TSC,"For instance, by July 2023, more than three-quarters of countries in the world and over 30 international organizations had signed agreements on Belt and Road cooperation with China.",UN,neutral,2023-09-26
TSC,The BRI originated in China but the opportunities and achievements it creates belong to the whole world.,China,positive,2023-09-26
TSC,The BRI originated in China but the opportunities and achievements it creates belong to the whole world.,UN,positive,2023-09-26
TSC,"It's an initiative for economic cooperation, not for geopolitical or military alliances, and it's open and inclusive process that neither targets nor excludes any party, the white paper said. ",US,positive,2023-09-26
TSC,"Among those BRI projects, for example, the China-Laos Railway began operation on December 3, 2021, with 167 tunnels and 301 bridges built in 11 years along its total length of 1,035 kilometers.",China,neutral,2023-09-26
TSC,"Among those BRI projects, for example, the China-Laos Railway began operation on December 3, 2021, with 167 tunnels and 301 bridges built in 11 years along its total length of 1,035 kilometers.",UN,neutral,2023-09-26
TSC,"Besides the BRI, the Global Development Initiative, the Global Security Initiative and Global Civilization Initiative have evolved into a crucial cornerstone for building a global community of shared future, offering China's solutions to major challenges pertaining to peace and development for humanity. ",China,positive,2023-09-26
TSC,"Besides the BRI, the Global Development Initiative, the Global Security Initiative and Global Civilization Initiative have evolved into a crucial cornerstone for building a global community of shared future, offering China's solutions to major challenges pertaining to peace and development for humanity. ",UN,positive,2023-09-26
TSC,"Facing constant flare-ups of hotspot issues, China has been committed to fulfilling its role as a responsible major country, pushing for the resolution of international and regional flashpoints, such as the Korean Peninsula, Palestine, the Iranian nuclear issue, Syria and Afghanistan, the white paper said. ",Palestine,neutral,2023-09-26
TSC,"Facing constant flare-ups of hotspot issues, China has been committed to fulfilling its role as a responsible major country, pushing for the resolution of international and regional flashpoints, such as the Korean Peninsula, Palestine, the Iranian nuclear issue, Syria and Afghanistan, the white paper said. ",US,positive,2023-09-26
TSC,"Facing constant flare-ups of hotspot issues, China has been committed to fulfilling its role as a responsible major country, pushing for the resolution of international and regional flashpoints, such as the Korean Peninsula, Palestine, the Iranian nuclear issue, Syria and Afghanistan, the white paper said. ",China,positive,2023-09-26
TSC,"Facing constant flare-ups of hotspot issues, China has been committed to fulfilling its role as a responsible major country, pushing for the resolution of international and regional flashpoints, such as the Korean Peninsula, Palestine, the Iranian nuclear issue, Syria and Afghanistan, the white paper said. ",UN,positive,2023-09-26
TSC,"On the Ukraine issue, China has actively promoted talks for peace, put forth four points, four things that the international community should do together and three observations, and released China's position on the political settlement of the Ukraine crisis and has dispatched the special representative of the Chinese government on Eurasian affairs to engage in extensive interactions and exchanges with stakeholders on the political settlement of the Ukraine crisis. ",China,positive,2023-09-26
TSC,"On the Ukraine issue, China has actively promoted talks for peace, put forth four points, four things that the international community should do together and three observations, and released China's position on the political settlement of the Ukraine crisis and has dispatched the special representative of the Chinese government on Eurasian affairs to engage in extensive interactions and exchanges with stakeholders on the political settlement of the Ukraine crisis. ",UN,positive,2023-09-26
TSC,"On the Ukraine issue, China has actively promoted talks for peace, put forth four points, four things that the international community should do together and three observations, and released China's position on the political settlement of the Ukraine crisis and has dispatched the special representative of the Chinese government on Eurasian affairs to engage in extensive interactions and exchanges with stakeholders on the political settlement of the Ukraine crisis. ",EU,positive,2023-09-26
TSC,"Also, through the mediation of China, Saudi Arabia and Iran achieve historic reconciliation earlier this year, setting a fine example for countries in the region to resolve disputes and differences and achieve good neighborly relations through dialogue and consultation, and catalyzing a wave of reconciliation in the Middle East. ",China,positive,2023-09-26
TSC,"Also, through the mediation of China, Saudi Arabia and Iran achieve historic reconciliation earlier this year, setting a fine example for countries in the region to resolve disputes and differences and achieve good neighborly relations through dialogue and consultation, and catalyzing a wave of reconciliation in the Middle East. ",Saudi Arabia,positive,2023-09-26
TSC,"Also, through the mediation of China, Saudi Arabia and Iran achieve historic reconciliation earlier this year, setting a fine example for countries in the region to resolve disputes and differences and achieve good neighborly relations through dialogue and consultation, and catalyzing a wave of reconciliation in the Middle East. ",Middle East,positive,2023-09-26
TSC,"Also, through the mediation of China, Saudi Arabia and Iran achieve historic reconciliation earlier this year, setting a fine example for countries in the region to resolve disputes and differences and achieve good neighborly relations through dialogue and consultation, and catalyzing a wave of reconciliation in the Middle East. ",UN,positive,2023-09-26
TSC,"China has also proposed a range of regional and bilateral initiatives on building communities of shared future and working with stakeholders to build consensus and expand cooperation, there by playing a constructive role in promoting regional peace and development.",US,positive,2023-09-26
TSC,"China has also proposed a range of regional and bilateral initiatives on building communities of shared future and working with stakeholders to build consensus and expand cooperation, there by playing a constructive role in promoting regional peace and development.",China,positive,2023-09-26
TSC,"China has also proposed a range of regional and bilateral initiatives on building communities of shared future and working with stakeholders to build consensus and expand cooperation, there by playing a constructive role in promoting regional peace and development.",UN,positive,2023-09-26
TSC,"Over the past decade, the vision of a global community of shared future has gained broader support.",UN,positive,2023-09-26
TSC,"More countries and people have come to the understanding that this vision serves the common interests of humanity, represents popular calls for peace, justice and progress, and can create the greatest synergy among all nations for building a better world, the white paper said.",US,positive,2023-09-26
TSC,"More countries and people have come to the understanding that this vision serves the common interests of humanity, represents popular calls for peace, justice and progress, and can create the greatest synergy among all nations for building a better world, the white paper said.",UN,positive,2023-09-26
TSC," 

Ultra Orthodox Jews perform the Kaparot ceremony, where white chickens are slaughtered as a symbolic gesture of atonement ahead of Yom Kippur, the Jewish Day of Atonement, in Beit Shemesh, Israel, on Sept. 20, 2023.(Photo: Xinhua) 



",Israel,neutral,2023-09-22
TSC,"An Ultra-Orthodox Jew holds a white chicken for the Kaparot ceremony, where white chickens are slaughtered as a symbolic gesture of atonement ahead of Yom Kippur, the Jewish Day of Atonement, in Bnei Brak, a suburb of Tel Aviv, Israel on Sept. 20, 2023.(Photo: Xinhua)",Israel,neutral,2023-09-22
TSC," 

A young Palestinian patient receives treatment at the dialysis department of a hospital in Gaza City, Sept. 20, 2023.",Gaza,neutral,2023-09-21
TSC," 

A young Palestinian patient receives treatment at the dialysis department of a hospital in Gaza City, Sept. 20, 2023.",UN,neutral,2023-09-21
TSC,"At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday(Photo: Xinhua) At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday.",Hamas,neutral,2023-09-21
TSC,"At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday(Photo: Xinhua) At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday.",UN,neutral,2023-09-21
TSC,"They include 38 children who are in danger of being denied access to dialysis sessions, Ashraf Abu Mahdi, director of the pharmacy department in the Health Ministry, said in a press conference held in Gaza.",Gaza,neutral,2023-09-21
TSC,"""Patients with kidney failure are forced to live in difficult health conditions as medical supplies will be used up soon,"" Abu Mahdi added.",US,neutral,2023-09-21
TSC,"Abu Mahdi indicated that stores run by the ministry in Gaza are short of related medical supplies, and the hospitals in Gaza provide 13,000 dialysis sessions for patients per month.",Gaza,neutral,2023-09-21
TSC,"Abu Mahdi indicated that stores run by the ministry in Gaza are short of related medical supplies, and the hospitals in Gaza provide 13,000 dialysis sessions for patients per month.",UN,neutral,2023-09-21
TSC,"He accused Israel of ""banning the transport and shipment of medical supplies to the hospitals of the coastal enclave, putting the lives of thousands of kidney patients at risk.",Israel,negative,2023-09-21
TSC,"He accused Israel of ""banning the transport and shipment of medical supplies to the hospitals of the coastal enclave, putting the lives of thousands of kidney patients at risk.",US,neutral,2023-09-21
TSC,"""Israel has imposed a tight blockade on the Gaza Strip, home to more than 2 million people, since the Hamas movement seized control of the enclave in 2007, widely blamed by Gazans for their poverty and hardship.",Israel,neutral,2023-09-21
TSC,"""Israel has imposed a tight blockade on the Gaza Strip, home to more than 2 million people, since the Hamas movement seized control of the enclave in 2007, widely blamed by Gazans for their poverty and hardship.",Gaza,neutral,2023-09-21
TSC,"""Israel has imposed a tight blockade on the Gaza Strip, home to more than 2 million people, since the Hamas movement seized control of the enclave in 2007, widely blamed by Gazans for their poverty and hardship.",Hamas,negative,2023-09-21
TSC,A US Marine Corps F-35B went down over South Carolina on Sunday after its pilot ejected mid-flight for reasons unknown.,US,neutral,2023-09-21
TSC,A US Marine Corps F-35B went down over South Carolina on Sunday after its pilot ejected mid-flight for reasons unknown.,UN,neutral,2023-09-21
TSC,And what role does the waste and fraud in the US military-industrial complex play in creating such a Frankenstein’s monster of an aircraft?,US,negative,2023-09-21
TSC,"Debris from the F-35B that went missing over South Carolina on September 17 was found in Williamsburg County, South Carolina, about two hours northeast of Joint Base Charleston on Monday following more than a day of frantic searching by the military.",UN,neutral,2023-09-21
TSC,An as yet unspecified “mishap” was blamed for the accident.,UN,neutral,2023-09-21
TSC,The pilot escaped unscathed.,UN,neutral,2023-09-21
TSC,"“The mishap is currently under investigation, and we are unable to provide additional details to preserve the integrity of the investigative process,” the Marine Corps said in a statement Monday.",UN,neutral,2023-09-21
TSC,"The Marines ordered a two-day global pause in all aerial operations, with the errant F-35B becoming the third major aviation-related accident suffered by the military branch in less than two months.",US,neutral,2023-09-21
TSC,"Air units will be discussing “fundamentals of safe flight operations, ground safety, maintenance and flight procedures, and maintaining combat readiness,” the Marine Corps said.",US,positive,2023-09-21
TSC,"Air units will be discussing “fundamentals of safe flight operations, ground safety, maintenance and flight procedures, and maintaining combat readiness,” the Marine Corps said.",UN,positive,2023-09-21
TSC,The pilot emerged unscathed.,UN,negative,2023-09-21
TSC,"On May 19, 2020, a US Air Force F-35A from the 58th Fighter Squadron crashed while performing a landing at Eglin Air Force Base in western Florida.",US,neutral,2023-09-21
TSC,"On May 19, 2020, a US Air Force F-35A from the 58th Fighter Squadron crashed while performing a landing at Eglin Air Force Base in western Florida.",West,neutral,2023-09-21
TSC,Pilot error (trying to land at excessive speed) and a mechanical defect related to a flight control glitch that left the plane’s tail unresponsive were blamed.,UN,negative,2023-09-21
TSC,"On September 29, 2020, a US Marine Corps F-35B was lost over Imperial County, California after colliding with a KC-130 tanker during midflight refueling.",US,neutral,2023-09-21
TSC,"On September 29, 2020, a US Marine Corps F-35B was lost over Imperial County, California after colliding with a KC-130 tanker during midflight refueling.",UN,neutral,2023-09-21
TSC,"On November 17, 2021, a British Royal Air Force F-35B plunged into the Mediterranean Sea after its pilot ejected during routine operations.",UN,neutral,2023-09-21
TSC,The pilot emerged unharmed.,UN,neutral,2023-09-21
TSC,"On January 24, 2022, a US Navy F-35C plunged into the South China Sea after making a hard landing on the USS Carl Vinson super carrier.",US,neutral,2023-09-21
TSC,"On January 24, 2022, a US Navy F-35C plunged into the South China Sea after making a hard landing on the USS Carl Vinson super carrier.",China,neutral,2023-09-21
TSC,"On January 24, 2022, a US Navy F-35C plunged into the South China Sea after making a hard landing on the USS Carl Vinson super carrier.",UN,neutral,2023-09-21
TSC,"On October 19, 2022, another F-35, this one from the US Air Force, crashed at Hill Air Force Base in Utah during a training mission.",US,neutral,2023-09-21
TSC,It was later determined that turbulent air somehow confused the jet’s onboard avionics to the point where the aircraft became uncontrollable.,US,neutral,2023-09-21
TSC,It was later determined that turbulent air somehow confused the jet’s onboard avionics to the point where the aircraft became uncontrollable.,UN,neutral,2023-09-21
TSC,"Finally, on December 15, 2022, a US Navy F-35B crashed while attempting to perform a vertical landing at Naval Air Station Joint Reserve Base Fort Worth in Texas during testing of the jet’s systems.",US,neutral,2023-09-21
TSC,"A “harmonic resonance” issue related to the jet’s Pratt & Whitney F135 engine was blamed, with the Pentagon halting further F-35 deliveries by Lockheed until an investigation was concluded.",UN,neutral,2023-09-21
TSC,"The aircraft, which has an astronomical total estimated purchase and sustainment price tag of over $1.7 trillion, and a per-plane cost of $70-$90 million, has faced years of harsh criticism from US officials, including former President Donald Trump at one point, who said the jet’s costs had spiraled “out of control.”At",US,neutral,2023-09-21
TSC,", the F-35 is the product of an idea that metastasized in the Pentagon after the end of the Cold War, envisioning an all-in-one fighter platform which could be used by every branch of the military, equipped with vertical take-off and landing capability, and carry out a broad array of missions using a variety of onboard weapons.",US,positive,2023-09-21
TSC,"The do-it-all jet was supposed to replace nearly all of America’s fourth-gen fighter, strike, and ground attack aircraft, including the F-16 Falcon, the F/A-18 Hornet and Super Hornet, the AV-8B Harrier II, and others.",UN,neutral,2023-09-21
TSC,"The jet features just a single onboard engine – the aforementioned Pratt & Whitney F135, with engine-related troubles not only regularly referred to by watchdogs as a “leading driver” of the F-35’s problems remaining “mission capable,” but also making its operation over enemy territory or over the sea risky, since if something goes wrong, the plane doesn’t have a backup engine to limp home with.",US,neutral,2023-09-21
TSC,"In its 2023 report, the congressional Government Accountability Office revealed that the F-35 program “continues to experience schedule delays, cost growth, and late deliveries,” with procurement costs jumping by $13.4 billion since 2019, and modernization behind schedule and over budget.",UN,neutral,2023-09-21
TSC,"[i.e. critical issues which could jeopardize flight safety and security], and 816 as category 2, [i.e. those which could impede or constrain mission success].”In all, between December 2006 and 2023, the GAO has reported a whopping 277 category 1 and 2,467 category 2 deficiencies with the aircraft, among them serious issues like cabin over-pressurization, problems with the jets’ night vision systems, software bugs, radar issues, corrosion, ejection seats which could snap pilots’ necks, etc.Is a Culture of Largess to Blame?Sunday’s accident in South Carolina is the latest piece of F-35-related bad news for Lockheed Martin.",US,negative,2023-09-21
TSC,"[i.e. critical issues which could jeopardize flight safety and security], and 816 as category 2, [i.e. those which could impede or constrain mission success].”In all, between December 2006 and 2023, the GAO has reported a whopping 277 category 1 and 2,467 category 2 deficiencies with the aircraft, among them serious issues like cabin over-pressurization, problems with the jets’ night vision systems, software bugs, radar issues, corrosion, ejection seats which could snap pilots’ necks, etc.Is a Culture of Largess to Blame?Sunday’s accident in South Carolina is the latest piece of F-35-related bad news for Lockheed Martin.",UN,negative,2023-09-21
TSC,"In June, it was reported that the Pentagon had halted the delivery of any additional upgraded F-35s until major issues related to new Technology Refresh 3 (TR-3) hardware and weapons-related software were resolved.",UN,neutral,2023-09-21
TSC,"DoD F-35 program director Mike Schmidt told Congress in March that the risk assessment related to the TR-3 hardware upgrade wouldn’t be finished until April 2024.Despite the delays and array of technical problems, the weapons giant has continued to rack up generous contracts related to F-35 procurement and production.",US,neutral,2023-09-21
TSC,"DoD F-35 program director Mike Schmidt told Congress in March that the risk assessment related to the TR-3 hardware upgrade wouldn’t be finished until April 2024.Despite the delays and array of technical problems, the weapons giant has continued to rack up generous contracts related to F-35 procurement and production.",UN,neutral,2023-09-21
TSC,"For example, in July, the US Navy ordered a $490 million package of equipment from Lockheed “to procure various material mod kits, special test/tooling equipment, as well as…product engineering” for already delivered, but defective planes.",US,neutral,2023-09-21
TSC,"In August, Lockheed received another $606 million “fixed-price incentive (firm-target) undefinitized” contract “for long lead time materials, parts, components, and efforts to support of maintaining on-time production and delivery of 173 Lot 19 F-35 Joint Strike Fighter aircraft for Foreign Military Sales (FMS) customers and non-US Department of Defense (DOD) participants.",US,neutral,2023-09-21
TSC,"In August, Lockheed received another $606 million “fixed-price incentive (firm-target) undefinitized” contract “for long lead time materials, parts, components, and efforts to support of maintaining on-time production and delivery of 173 Lot 19 F-35 Joint Strike Fighter aircraft for Foreign Military Sales (FMS) customers and non-US Department of Defense (DOD) participants.",UN,positive,2023-09-21
TSC,"terms of the contracts seem to be the culprit behind the F-35’s soaring costs (and Lockheed’s soaring profits, despite delivery of defective products), with so-called “cost-plus” and “undefinitized” contracts effectively making any overruns the buyer’s problem – i.e. that of US taxpayers, and of citizens of any country unfortunate enough to pen contracts for the planes from Lockheed.",US,negative,2023-09-21
TSC,"terms of the contracts seem to be the culprit behind the F-35’s soaring costs (and Lockheed’s soaring profits, despite delivery of defective products), with so-called “cost-plus” and “undefinitized” contracts effectively making any overruns the buyer’s problem – i.e. that of US taxpayers, and of citizens of any country unfortunate enough to pen contracts for the planes from Lockheed.",UN,negative,2023-09-21
TSC,"What About America’s Competitors?The worst part about the F-35’s troublesome history seems to be that the F-35 has already become ""obsolete"" in the sense that many of the US and NATO’s competitors have obtained the ability to defeat them, with Russia and China gaining capabilities to track and target the jets going back to the mid-to-late 2010s.",US,negative,2023-09-21
TSC,"What About America’s Competitors?The worst part about the F-35’s troublesome history seems to be that the F-35 has already become ""obsolete"" in the sense that many of the US and NATO’s competitors have obtained the ability to defeat them, with Russia and China gaining capabilities to track and target the jets going back to the mid-to-late 2010s.",China,negative,2023-09-21
TSC,"In April, Iran announced that its engineers had created advanced radar technologies to not only detect F-35s, but identify the radar signature of individual F-35 planes, enabling the Islamic Republic to plan defensive operations accordingly.",UN,neutral,2023-09-21
TSC,Experts said the incident shows the US has been unable to take seriously and overcome major issues affecting public safety and the environment and ecology in the country.,US,negative,2023-09-15
TSC,Experts said the incident shows the US has been unable to take seriously and overcome major issues affecting public safety and the environment and ecology in the country.,UN,positive,2023-09-15
